Wall time;Step;Value
1581341860;0;1.924773455
1581342598;250;0.472764879
1581343288;500;0.316684633
1581343981;750;0.30344823
1581344647;1000;0.219601065
1581345319;1250;0.269559532
1581345988;1500;0.230661333
1581346655;1750;0.212894112
1581347310;2000;0.178403109
1581353697;4000;0.171494737
1581360638;6000;0.175630763
1581366208;8000;0.177925184
1581371096;10000;0.13233088
1581376389;12000;0.196705997
1581381688;14000;0.159039408
1581386961;16000;0.141788185
1581392241;18000;0.122145452
1581397556;20000;0.159853339
1581402843;22000;0.179153234
1581408120;24000;0.15103969
1581413411;26000;0.1673114
1581418744;28000;0.17901963
1581424021;30000;0.179473951
